cart_nome;cart_rodada;cart_pontos;cart_patr
Al Bihlau;26;61,54;129,72
Clube Pipocada;26;82,89;151,29
Fracus FC;26;92,73;148,44
Kika@72fc;26;83,24;150,24
Plincesa FC;26;97,44;151,79
Tra-Thor;26;87,94;159,82
Al Bihlau;27;70,61;128,33
Clube Pipocada;27;126,07;156,97
Fracus FC;27;85,87;145,39
Kika@72fc;27;111,17;153
Plincesa FC;27;85,27;152,58
Tra-Thor;27;94,47;161,65
Al Bihlau;28;67,35;130,52
Clube Pipocada;28;79,46;159,81
Fracus FC;28;104,99;151,56
Kika@72fc;28;70,31;153,48
Plincesa FC;28;91,44;158,22
Tra-Thor;28;111,04;169,95
Al Bihlau;29;55,4;128,42
Clube Pipocada;29;109,78;163,43
Fracus FC;29;93,73;150,36
Kika@72fc;29;101,86;152,2
Plincesa FC;29;90,69;156,51
Tra-Thor;29;92,26;169,68
Al Bihlau;30;49,93;119,85
Clube Pipocada;30;44,34;157,91
Fracus FC;30;75,04;153,53
Kika@72fc;30;107,6;157,86
Plincesa FC;30;27,94;149,67
Tra-Thor;30;58,24;167,62
Al Bihlau;31;86,97;124,66
Clube Pipocada;31;103,87;165,07
Fracus FC;31;102,57;162,16
Kika@72fc;31;72,47;158,49
Plincesa FC;31;119,39;157,24
Tra-Thor;31;87,27;174,01
Al Bihlau;32;78,35;125,61
Clube Pipocada;32;92,94;170,06
Fracus FC;32;91,59;165,33
Kika@72fc;32;95,84;162,51
Plincesa FC;32;88,24;156,89
Tra-Thor;32;89,54;177,87
Al Bihlau;33;76,92;125,89
Clube Pipocada;33;68,02;166,58
Fracus FC;33;71,42;167,66
Kika@72fc;33;85,97;163,55
Plincesa FC;33;84,04;153,69
Tra-Thor;33;46,87;173,26
Al Bihlau;34;95,37;125,86
Clube Pipocada;34;88,57;168,61
Fracus FC;34;80,55;169,25
Kika@72fc;34;88,27;163,03
Plincesa FC;34;75,77;154,39
Tra-Thor;34;91,57;174,62
Al Bihlau;35;108,35;132,15
Clube Pipocada;35;125,39;172,93
Fracus FC;35;132,99;174,99
Kika@72fc;35;138,49;168,71
Plincesa FC;35;113,66;158,77
Tra-Thor;35;128,19;181,33
